pauta,url,voto
"PLP 149/19 - DTQ 29 - Bloco PL, PP e outros - Destaque para votação da Emenda n. 35, apresentada ao PLP 149/2019 (art. 161, II)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206395,---
"PLP 149/19 - DTQ 31 - Bloco PL, PP e outros - Destaque para votação da Emenda n. 94, apresentada ao PLP 149/2019 (art. 161, II)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206395,Não
"PLP 149/19 - DTQ 41 - Bloco PL, PP e outros - Destaque para votação da Emenda n. 111, apresentada ao PLP 149/2019 (art. 161, II)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206395,Não
requerimento de retirada de pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,---
REQ de encerramento de discussão e encaminhamento da votação,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,---
REQ de retirada de pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,---
Consulta Votação Parcelada,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Não
Parecer da Comissão Mista pelo atendimento dos pressupostos constitucionais ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
Parecer da Comissão Mista pelo NÃO atendimento dos pressupostos constitucionais,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
Votação da Emenda Aglutinativa oferecida à MPV 905/19,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
MPV 905/19 - DTQ 98 - PT,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
MPV 905/19 - DTQ 105 - PSL,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Não
MPV 905/19 - DTQ 107 - NOVO ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Não
MPV 905/19 - DTQ 100 - PDT,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
MPV 905/19 - DTQ 103 - PCdoB,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
MPV 905/19 - DTQ 108 - REPUBLICANOS,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,---
MPV 905/19 - DTQ 88 - PSB,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
